"time","year","month","day"
1876-06-16,1876,"June",16
1876-06-23,1876,"June",23
1876-06-30,1876,"June",30
1876-07-01,1876,"July",7
1876-07-14,1876,"July",14
1876-07-21,1876,"July",21
1876-07-28,1876,"July",28
1876-08-01,1876,"August",4
1876-08-11,1876,"August",11
1876-08-18,1876,"August",18
1876-08-25,1876,"August",25
1876-09-01,1876,"September",1
1876-09-08,1876,"September",8
1876-09-15,1876,"September",15
1876-09-22,1876,"September",22
1876-09-29,1876,"September",29
1876-10-01,1876,"October",6
1876-10-13,1876,"October",13
1876-10-20,1876,"October",20
1876-10-27,1876,"October",27
1876-11-01,1876,"November",3
1876-11-10,1876,"November",10
1876-11-17,1876,"November",17
1876-11-24,1876,"November",24
1876-12-01,1876,"December",1
1876-12-08,1876,"December",8
1876-12-15,1876,"December",15
1876-12-22,1876,"December",22
1876-12-29,1876,"December",29
1877-01-01,1877,"January",5
1877-01-12,1877,"January",12
1877-01-19,1877,"January",19
1877-01-26,1877,"January",26
1877-02-01,1877,"February",2
1877-02-09,1877,"February",9
1877-02-16,1877,"February",16
1877-02-23,1877,"February",23
1877-03-01,1877,"March",2
1877-03-09,1877,"March",9
1877-03-16,1877,"March",16
1877-03-23,1877,"March",23
1877-03-30,1877,"March",30
1877-04-01,1877,"April",6
1877-04-13,1877,"April",13
1877-04-20,1877,"April",20
1877-04-27,1877,"April",27
1877-05-01,1877,"May",4
1877-05-11,1877,"May",11
1877-05-18,1877,"May",18
1877-05-25,1877,"May",25
1877-06-01,1877,"June",1
1877-06-08,1877,"June",8
1877-06-15,1877,"June",15
1877-06-22,1877,"June",22
1877-06-29,1877,"June",29
1877-07-01,1877,"July",6
1877-07-13,1877,"July",13
1877-07-20,1877,"July",20
1877-07-27,1877,"July",27
1877-08-01,1877,"August",3
1877-08-10,1877,"August",10
1877-08-17,1877,"August",17
1877-08-24,1877,"August",24
1877-08-31,1877,"August",31
1877-09-01,1877,"September",7
1877-09-14,1877,"September",14
1877-09-21,1877,"September",21
1877-09-28,1877,"September",28
1877-10-01,1877,"October",5
1877-10-12,1877,"October",12
1877-10-19,1877,"October",19
1877-10-26,1877,"October",26
1877-11-01,1877,"November",2
1877-11-09,1877,"November",9
1877-11-16,1877,"November",16
1877-11-23,1877,"November",23
1877-11-30,1877,"November",30
1877-12-01,1877,"December",7
1877-12-14,1877,"December",14
1877-12-21,1877,"December",21
1877-12-28,1877,"December",28
1878-01-01,1878,"January",4
1878-01-11,1878,"January",11
1878-01-18,1878,"January",18
1878-01-25,1878,"January",25
1878-02-01,1878,"February",1
1878-02-08,1878,"February",8
1878-02-15,1878,"February",15
1878-02-22,1878,"February",22
1878-03-01,1878,"March",1
1878-03-08,1878,"March",8
1878-03-15,1878,"March",15
1878-03-22,1878,"March",22
1878-03-29,1878,"March",29
1878-04-01,1878,"April",5
1878-04-12,1878,"April",12
1878-04-19,1878,"April",19
1878-04-26,1878,"April",26
1878-05-01,1878,"May",3
1878-05-10,1878,"May",10
1878-05-17,1878,"May",17
1878-05-24,1878,"May",24
1878-05-31,1878,"May",31
1878-06-01,1878,"June",7
1878-06-14,1878,"June",14
1878-06-21,1878,"June",21
1878-06-28,1878,"June",28
1878-07-01,1878,"July",5
1878-07-12,1878,"July",12
1878-07-19,1878,"July",19
1878-07-26,1878,"July",26
1878-08-01,1878,"August",2
1878-08-09,1878,"August",9
1878-08-16,1878,"August",16
1878-08-23,1878,"August",23
1878-08-30,1878,"August",30
1878-09-01,1878,"September",6
1878-09-13,1878,"September",13
1878-09-20,1878,"September",20
1878-09-27,1878,"September",27
1878-10-01,1878,"October",4
1878-10-11,1878,"October",11
1878-10-18,1878,"October",18
1878-10-25,1878,"October",25
1878-11-01,1878,"November",1
1878-11-08,1878,"November",8
1878-11-15,1878,"November",15
1878-11-22,1878,"November",22
1878-11-29,1878,"November",29
1878-12-01,1878,"December",6
1878-12-13,1878,"December",13
1878-12-20,1878,"December",20
1878-12-27,1878,"December",27
1879-01-01,1879,"January",3
1879-01-10,1879,"January",10
1879-01-17,1879,"January",17
1879-01-24,1879,"January",24
1879-01-31,1879,"January",31
1879-02-01,1879,"February",7
1879-02-14,1879,"February",14
1879-02-21,1879,"February",21
1879-02-28,1879,"February",28
1879-03-01,1879,"March",7
1879-03-14,1879,"March",14
1879-03-21,1879,"March",21
1879-03-28,1879,"March",28
1879-04-01,1879,"April",4
1879-04-11,1879,"April",11
1879-04-18,1879,"April",18
1879-04-25,1879,"April",25
1879-05-01,1879,"May",2
1879-05-09,1879,"May",9
1879-05-16,1879,"May",16
1879-05-23,1879,"May",23
1879-05-30,1879,"May",30
1879-06-01,1879,"June",6
1879-06-13,1879,"June",13
1879-06-20,1879,"June",20
1879-06-27,1879,"June",27
1879-07-01,1879,"July",4
1879-07-11,1879,"July",11
1879-07-18,1879,"July",18
1879-07-25,1879,"July",25
1879-08-01,1879,"August",1
1879-08-08,1879,"August",8
1879-08-15,1879,"August",15
1879-08-22,1879,"August",22
1879-08-29,1879,"August",29
1879-09-01,1879,"September",5
1879-09-12,1879,"September",12
1879-09-19,1879,"September",19
1879-09-26,1879,"September",26
1879-10-01,1879,"October",3
1879-10-10,1879,"October",10
1879-10-17,1879,"October",17
1879-10-24,1879,"October",24
1879-10-31,1879,"October",31
1879-11-01,1879,"November",7
1879-11-14,1879,"November",14
1879-11-21,1879,"November",21
1879-11-28,1879,"November",28
1879-12-01,1879,"December",5
1879-12-12,1879,"December",12
1879-12-19,1879,"December",19
1879-12-26,1879,"December",26
1880-01-01,1880,"January",2
1880-01-09,1880,"January",9
1880-01-16,1880,"January",16
1880-01-23,1880,"January",23
1880-01-30,1880,"January",30
1880-02-01,1880,"February",6
1880-02-13,1880,"February",13
1880-02-20,1880,"February",20
1880-02-27,1880,"February",27
1880-03-01,1880,"March",5
1880-03-12,1880,"March",12
1880-03-19,1880,"March",19
1880-03-26,1880,"March",26
1880-04-01,1880,"April",2
1880-04-09,1880,"April",9
1880-04-16,1880,"April",16
1880-04-23,1880,"April",23
1880-04-30,1880,"April",30
1880-05-01,1880,"May",7
1880-05-14,1880,"May",14
1880-05-21,1880,"May",21
1880-05-28,1880,"May",28
1880-06-01,1880,"June",4
1880-06-11,1880,"June",11
1880-06-18,1880,"June",18
1880-06-25,1880,"June",25
1880-07-01,1880,"July",2
1880-07-09,1880,"July",9
1880-07-16,1880,"July",16
1880-07-23,1880,"July",23
1880-07-30,1880,"July",30
1880-08-01,1880,"August",6
1880-08-13,1880,"August",13
1880-08-20,1880,"August",20
1880-08-27,1880,"August",27
1880-09-01,1880,"September",3
1880-09-10,1880,"September",10
1880-09-17,1880,"September",17
1880-09-24,1880,"September",24
1880-10-01,1880,"October",1
1880-10-08,1880,"October",8
1880-10-15,1880,"October",15
1880-10-22,1880,"October",22
1880-10-29,1880,"October",29
1880-11-01,1880,"November",5
1880-11-12,1880,"November",12
1880-11-19,1880,"November",19
1880-11-26,1880,"November",26
1880-12-01,1880,"December",3
1880-12-10,1880,"December",10
1880-12-17,1880,"December",17
1880-12-24,1880,"December",24
1880-12-31,1880,"December",31
1881-01-01,1881,"January",7
1881-01-14,1881,"January",14
1881-01-21,1881,"January",21
1881-01-28,1881,"January",28
1881-02-01,1881,"February",4
1881-02-11,1881,"February",11
1881-02-18,1881,"February",18
1881-02-25,1881,"February",25
1881-03-01,1881,"March",4
1881-03-11,1881,"March",11
1881-03-18,1881,"March",18
1881-03-25,1881,"March",25
1881-04-01,1881,"April",1
1881-04-08,1881,"April",8
1881-04-15,1881,"April",15
1881-04-22,1881,"April",22
1881-04-29,1881,"April",29
1881-05-01,1881,"May",6
1881-05-13,1881,"May",13
1881-05-20,1881,"May",20
1881-05-27,1881,"May",27
1881-06-01,1881,"June",3
1881-06-10,1881,"June",10
1881-06-17,1881,"June",17
1881-06-24,1881,"June",24
1881-07-01,1881,"July",1
1881-07-08,1881,"July",8
1881-07-15,1881,"July",15
1881-07-22,1881,"July",22
1881-07-29,1881,"July",29
1881-08-01,1881,"August",5
1881-08-12,1881,"August",12
1881-08-19,1881,"August",19
1881-08-26,1881,"August",26
1881-09-01,1881,"September",2
1881-09-09,1881,"September",9
1881-09-16,1881,"September",16
1881-09-23,1881,"September",23
1881-09-30,1881,"September",30
1881-10-01,1881,"October",7
1881-10-14,1881,"October",14
1881-10-21,1881,"October",21
1881-10-28,1881,"October",28
1881-11-01,1881,"November",4
1881-11-11,1881,"November",11
1881-11-18,1881,"November",18
1881-11-25,1881,"November",25
1881-12-01,1881,"December",2
1881-12-09,1881,"December",9
1881-12-16,1881,"December",16
1881-12-23,1881,"December",23
1881-12-30,1881,"December",30
1882-01-01,1882,"January",6
1882-01-13,1882,"January",13
1882-01-20,1882,"January",20
1882-01-27,1882,"January",27
1882-02-01,1882,"February",3
1882-02-10,1882,"February",10
1882-02-17,1882,"February",17
1882-02-24,1882,"February",24
1882-03-01,1882,"March",3
1882-03-10,1882,"March",10
1882-03-17,1882,"March",17
1882-03-24,1882,"March",24
1882-03-31,1882,"March",31
1882-04-01,1882,"April",7
1882-04-14,1882,"April",14
1882-04-21,1882,"April",21
1882-04-28,1882,"April",28
1882-05-01,1882,"May",5
1882-05-12,1882,"May",12
1882-05-19,1882,"May",19
1882-05-26,1882,"May",26
1882-06-01,1882,"June",2
1882-06-09,1882,"June",9
1882-06-16,1882,"June",16
1882-06-23,1882,"June",23
1882-06-30,1882,"June",30
1882-07-01,1882,"July",7
1882-07-14,1882,"July",14
1882-07-21,1882,"July",21
1882-07-28,1882,"July",28
1882-08-01,1882,"August",4
1882-08-11,1882,"August",11
1882-08-18,1882,"August",18
1882-08-25,1882,"August",25
1882-09-01,1882,"September",1
1882-09-08,1882,"September",8
1882-09-15,1882,"September",15
1882-09-22,1882,"September",22
1882-09-29,1882,"September",29
1882-10-01,1882,"October",6
1882-10-13,1882,"October",13
1882-10-20,1882,"October",20
1882-10-27,1882,"October",27
1882-11-01,1882,"November",3
1882-11-10,1882,"November",10
1882-11-17,1882,"November",17
1882-11-24,1882,"November",24
1882-12-01,1882,"December",1
1882-12-08,1882,"December",8
1882-12-15,1882,"December",15
1882-12-22,1882,"December",22
1882-12-29,1882,"December",29
1883-01-01,1883,"January",5
1883-01-12,1883,"January",12
1883-01-19,1883,"January",19
1883-01-26,1883,"January",26
1883-02-01,1883,"February",2
1883-02-09,1883,"February",9
1883-02-16,1883,"February",16
1883-02-23,1883,"February",23
1883-03-01,1883,"March",2
1883-03-09,1883,"March",9
1883-03-16,1883,"March",16
1883-03-23,1883,"March",23
1883-03-30,1883,"March",30
1883-04-01,1883,"April",6
1883-04-13,1883,"April",13
1883-04-20,1883,"April",20
1883-04-27,1883,"April",27
1883-05-01,1883,"May",4
1883-05-11,1883,"May",11
1883-05-18,1883,"May",18
1883-05-25,1883,"May",25
1883-06-01,1883,"June",1
1883-06-08,1883,"June",8
1883-06-15,1883,"June",15
1883-06-22,1883,"June",22
1883-06-29,1883,"June",29
1883-07-01,1883,"July",6
1883-07-13,1883,"July",13
1883-07-20,1883,"July",20
1883-07-27,1883,"July",27
1883-08-01,1883,"August",3
1883-08-10,1883,"August",10
1883-08-17,1883,"August",17
1883-08-24,1883,"August",24
1883-08-31,1883,"August",31
1883-09-01,1883,"September",7
1883-09-14,1883,"September",14
1883-09-21,1883,"September",21
1883-09-28,1883,"September",28
1883-10-01,1883,"October",5
1883-10-12,1883,"October",12
1883-10-19,1883,"October",19
1883-10-26,1883,"October",26
1883-11-01,1883,"November",2
1883-11-09,1883,"November",9
1883-11-16,1883,"November",16
1883-11-23,1883,"November",23
1883-11-30,1883,"November",30
1883-12-01,1883,"December",7
1883-12-14,1883,"December",14
1883-12-21,1883,"December",21
1883-12-28,1883,"December",28
1884-01-01,1884,"January",4
1884-01-11,1884,"January",11
1884-01-18,1884,"January",18
1884-01-25,1884,"January",25
1884-02-01,1884,"February",1
1884-02-08,1884,"February",8
1884-02-15,1884,"February",15
1884-02-22,1884,"February",22
1884-02-29,1884,"February",29
1884-03-01,1884,"March",7
1884-03-14,1884,"March",14
1884-03-21,1884,"March",21
1884-03-28,1884,"March",28
1884-04-01,1884,"April",4
1884-04-11,1884,"April",11
1884-04-18,1884,"April",18
1884-04-25,1884,"April",25
1884-05-01,1884,"May",2
1884-05-09,1884,"May",9
1884-05-16,1884,"May",16
1884-05-23,1884,"May",23
1884-05-30,1884,"May",30
1884-06-01,1884,"June",6
1884-06-13,1884,"June",13
1884-06-20,1884,"June",20
1884-06-27,1884,"June",27
1884-07-01,1884,"July",4
1884-07-11,1884,"July",11
1884-07-18,1884,"July",18
1884-07-25,1884,"July",25
1884-08-01,1884,"August",1
1884-08-08,1884,"August",8
1884-08-15,1884,"August",15
1884-08-22,1884,"August",22
1884-08-29,1884,"August",29
1884-09-01,1884,"September",5
1884-09-12,1884,"September",12
1884-09-19,1884,"September",19
1884-09-26,1884,"September",26
1884-10-01,1884,"October",3
1884-10-10,1884,"October",10
1884-10-17,1884,"October",17
1884-10-24,1884,"October",24
1884-10-31,1884,"October",31
1884-11-01,1884,"November",7
1884-11-14,1884,"November",14
1884-11-21,1884,"November",21
1884-11-28,1884,"November",28
1884-12-01,1884,"December",5
1884-12-12,1884,"December",12
1884-12-19,1884,"December",19
1884-12-26,1884,"December",26
1885-01-01,1885,"January",2
1885-01-09,1885,"January",9
1885-01-16,1885,"January",16
1885-01-23,1885,"January",23
1885-01-30,1885,"January",30
1885-02-01,1885,"February",6
1885-02-13,1885,"February",13
1885-02-20,1885,"February",20
1885-02-27,1885,"February",27
1885-03-01,1885,"March",6
1885-03-13,1885,"March",13
1885-03-20,1885,"March",20
1885-03-27,1885,"March",27
1885-04-01,1885,"April",3
1885-04-10,1885,"April",10
1885-04-17,1885,"April",17
1885-04-24,1885,"April",24
1885-05-01,1885,"May",1
1885-05-08,1885,"May",8
1885-05-15,1885,"May",15
1885-05-22,1885,"May",22
1885-05-29,1885,"May",29
1885-06-01,1885,"June",5
1885-06-12,1885,"June",12
1885-06-19,1885,"June",19
1885-06-26,1885,"June",26
1885-07-01,1885,"July",3
1885-07-10,1885,"July",10
1885-07-17,1885,"July",17
1885-07-24,1885,"July",24
1885-07-31,1885,"July",31
1885-08-01,1885,"August",7
1885-08-14,1885,"August",14
1885-08-21,1885,"August",21
1885-08-28,1885,"August",28
1885-09-01,1885,"September",4
1885-09-11,1885,"September",11
1885-09-18,1885,"September",18
1885-09-25,1885,"September",25
1885-10-01,1885,"October",2
1885-10-09,1885,"October",9
1885-10-16,1885,"October",16
1885-10-23,1885,"October",23
1885-10-30,1885,"October",30
1885-11-01,1885,"November",6
1885-11-13,1885,"November",13
1885-11-20,1885,"November",20
1885-11-27,1885,"November",27
1885-12-01,1885,"December",4
1885-12-11,1885,"December",11
1885-12-18,1885,"December",18
1885-12-25,1885,"December",25
1886-01-01,1886,"January",1
1886-01-08,1886,"January",8
1886-01-15,1886,"January",15
1886-01-22,1886,"January",22
1886-01-29,1886,"January",29
1886-02-01,1886,"February",5
1886-02-12,1886,"February",12
1886-02-19,1886,"February",19
1886-02-26,1886,"February",26
1886-03-01,1886,"March",5
1886-03-12,1886,"March",12
1886-03-19,1886,"March",19
1886-03-26,1886,"March",26
1886-04-01,1886,"April",2
1886-04-09,1886,"April",9
1886-04-16,1886,"April",16
1886-04-23,1886,"April",23
1886-04-30,1886,"April",30
1886-05-01,1886,"May",7
1886-05-14,1886,"May",14
1886-05-21,1886,"May",21
1886-05-28,1886,"May",28
1886-06-01,1886,"June",4
1886-06-11,1886,"June",11
1886-06-18,1886,"June",18
1886-06-25,1886,"June",25
1886-07-01,1886,"July",2
1886-07-09,1886,"July",9
1886-07-16,1886,"July",16
1886-07-23,1886,"July",23
1886-07-30,1886,"July",30
1886-08-01,1886,"August",6
1886-08-13,1886,"August",13
1886-08-20,1886,"August",20
1886-08-27,1886,"August",27
1886-09-01,1886,"September",3
1886-09-10,1886,"September",10
1886-09-17,1886,"September",17
1886-09-24,1886,"September",24
1886-10-01,1886,"October",1
1886-10-08,1886,"October",8
1886-10-15,1886,"October",15
1886-10-22,1886,"October",22
1886-10-29,1886,"October",29
1886-11-01,1886,"November",5
1886-11-12,1886,"November",12
1886-11-19,1886,"November",19
1886-11-26,1886,"November",26
1886-12-01,1886,"December",3
1886-12-10,1886,"December",10
1886-12-17,1886,"December",17
1886-12-24,1886,"December",24
1886-12-31,1886,"December",31
1887-01-01,1887,"January",7
1887-01-14,1887,"January",14
1887-01-21,1887,"January",21
1887-01-28,1887,"January",28
1887-02-01,1887,"February",4
1887-02-11,1887,"February",11
1887-02-18,1887,"February",18
1887-02-25,1887,"February",25
1887-03-01,1887,"March",4
1887-03-11,1887,"March",11
1887-03-18,1887,"March",18
1887-03-25,1887,"March",25
1887-04-01,1887,"April",1
1887-04-08,1887,"April",8
1887-04-15,1887,"April",15
1887-04-22,1887,"April",22
1887-04-29,1887,"April",29
1887-05-01,1887,"May",6
1887-05-13,1887,"May",13
1887-05-20,1887,"May",20
1887-05-27,1887,"May",27
1887-06-01,1887,"June",3
1887-06-10,1887,"June",10
1887-06-17,1887,"June",17
1887-06-24,1887,"June",24
1887-07-01,1887,"July",1
1887-07-08,1887,"July",8
1887-07-15,1887,"July",15
1887-07-22,1887,"July",22
1887-07-29,1887,"July",29
1887-08-01,1887,"August",5
1887-08-12,1887,"August",12
1887-08-19,1887,"August",19
1887-08-26,1887,"August",26
1887-09-01,1887,"September",2
1887-09-09,1887,"September",9
1887-09-16,1887,"September",16
1887-09-23,1887,"September",23
1887-09-30,1887,"September",30
1887-10-01,1887,"October",7
1887-10-14,1887,"October",14
1887-10-21,1887,"October",21
1887-10-28,1887,"October",28
1887-11-01,1887,"November",4
1887-11-11,1887,"November",11
1887-11-18,1887,"November",18
1887-11-25,1887,"November",25
1887-12-01,1887,"December",2
1887-12-09,1887,"December",9
1887-12-16,1887,"December",16
1887-12-23,1887,"December",23
1887-12-30,1887,"December",30
1888-01-01,1888,"January",6
1888-01-13,1888,"January",13
1888-01-20,1888,"January",20
1888-01-27,1888,"January",27
1888-02-01,1888,"February",3
1888-02-10,1888,"February",10
1888-02-17,1888,"February",17
1888-02-24,1888,"February",24
1888-03-01,1888,"March",2
1888-03-09,1888,"March",9
1888-03-16,1888,"March",16
1888-03-23,1888,"March",23
1888-03-30,1888,"March",30
1888-04-01,1888,"April",6
1888-04-13,1888,"April",13
1888-04-20,1888,"April",20
1888-04-27,1888,"April",27
1888-05-01,1888,"May",4
1888-05-11,1888,"May",11
1888-05-18,1888,"May",18
1888-05-25,1888,"May",25
1888-06-01,1888,"June",1
1888-06-08,1888,"June",8
1888-06-15,1888,"June",15
1888-06-22,1888,"June",22
1888-06-29,1888,"June",29
1888-07-01,1888,"July",6
1888-07-13,1888,"July",13
1888-07-20,1888,"July",20
1888-07-27,1888,"July",27
1888-08-01,1888,"August",3
1888-08-10,1888,"August",10
1888-08-17,1888,"August",17
1888-08-24,1888,"August",24
1888-08-31,1888,"August",31
1888-09-01,1888,"September",7
1888-09-14,1888,"September",14
1888-09-21,1888,"September",21
1888-09-28,1888,"September",28
1888-10-01,1888,"October",5
1888-10-12,1888,"October",12
1888-10-19,1888,"October",19
1888-10-26,1888,"October",26
1888-11-01,1888,"November",2
1888-11-09,1888,"November",9
1888-11-16,1888,"November",16
1888-11-23,1888,"November",23
1888-11-30,1888,"November",30
1888-12-01,1888,"December",7
1888-12-14,1888,"December",14
1888-12-21,1888,"December",21
1888-12-28,1888,"December",28
1889-01-01,1889,"January",4
1889-01-11,1889,"January",11
1889-01-18,1889,"January",18
1889-01-25,1889,"January",25
1889-02-01,1889,"February",1
1889-02-08,1889,"February",8
1889-02-15,1889,"February",15
1889-02-22,1889,"February",22
1889-03-01,1889,"March",1
1889-03-08,1889,"March",8
1889-03-15,1889,"March",15
1889-03-22,1889,"March",22
1889-03-29,1889,"March",29
1889-04-01,1889,"April",5
1889-04-12,1889,"April",12
1889-04-19,1889,"April",19
1889-04-26,1889,"April",26
1889-05-01,1889,"May",3
1889-05-10,1889,"May",10
1889-05-17,1889,"May",17
1889-05-24,1889,"May",24
1889-05-31,1889,"May",31
1889-06-01,1889,"June",7
1889-06-14,1889,"June",14
1889-06-21,1889,"June",21
1889-06-28,1889,"June",28
1889-07-01,1889,"July",5
1889-07-12,1889,"July",12
1889-07-19,1889,"July",19
1889-07-26,1889,"July",26
1889-08-01,1889,"August",2
1889-08-09,1889,"August",9
1889-08-16,1889,"August",16
1889-08-23,1889,"August",23
1889-08-30,1889,"August",30
1889-09-01,1889,"September",6
1889-09-13,1889,"September",13
1889-09-20,1889,"September",20
1889-09-27,1889,"September",27
1889-10-01,1889,"October",4
1889-10-11,1889,"October",11
1889-10-18,1889,"October",18
1889-10-25,1889,"October",25
1889-11-01,1889,"November",1
1889-11-08,1889,"November",8
1889-11-15,1889,"November",15
1889-11-22,1889,"November",22
1889-11-29,1889,"November",29
1889-12-01,1889,"December",6
1889-12-13,1889,"December",13
1889-12-20,1889,"December",20
1889-12-27,1889,"December",27
1890-01-01,1890,"January",3
1890-01-10,1890,"January",10
1890-01-17,1890,"January",17
1890-01-24,1890,"January",24
1890-01-31,1890,"January",31
1890-02-01,1890,"February",7
1890-02-14,1890,"February",14
1890-02-21,1890,"February",21
1890-02-28,1890,"February",28
1890-03-01,1890,"March",7
1890-03-14,1890,"March",14
1890-03-21,1890,"March",21
1890-03-28,1890,"March",28
1890-04-01,1890,"April",4
1890-04-11,1890,"April",11
1890-04-18,1890,"April",18
1890-04-25,1890,"April",25
1890-05-01,1890,"May",2
1890-05-09,1890,"May",9
1890-05-16,1890,"May",16
1890-05-23,1890,"May",23
1890-05-30,1890,"May",30
1890-06-01,1890,"June",6
1890-06-13,1890,"June",13
1890-06-20,1890,"June",20
1890-06-27,1890,"June",27
1890-07-01,1890,"July",4
1890-07-11,1890,"July",11
1890-07-18,1890,"July",18
1890-07-25,1890,"July",25
1890-08-01,1890,"August",1
1890-08-08,1890,"August",8
1890-08-15,1890,"August",15
1890-08-22,1890,"August",22
1890-08-29,1890,"August",29
1890-09-01,1890,"September",5
1890-09-12,1890,"September",12
1890-09-19,1890,"September",19
1890-09-26,1890,"September",26
1890-10-01,1890,"October",3
1890-10-10,1890,"October",10
1890-10-17,1890,"October",17
1890-10-24,1890,"October",24
1890-10-31,1890,"October",31
1890-11-01,1890,"November",7
1890-11-14,1890,"November",14
1890-11-21,1890,"November",21
1890-11-28,1890,"November",28
1890-12-01,1890,"December",5
1890-12-12,1890,"December",12
1890-12-19,1890,"December",19
1890-12-26,1890,"December",26
1891-01-01,1891,"January",2
1891-01-09,1891,"January",9
1891-01-16,1891,"January",16
1891-01-23,1891,"January",23
1891-01-30,1891,"January",30
1891-02-01,1891,"February",6
1891-02-13,1891,"February",13
1891-02-20,1891,"February",20
1891-02-27,1891,"February",27
1891-03-01,1891,"March",6
1891-03-13,1891,"March",13
1891-03-20,1891,"March",20
1891-03-27,1891,"March",27
1891-04-01,1891,"April",3
1891-04-10,1891,"April",10
1891-04-17,1891,"April",17
1891-04-24,1891,"April",24
1891-05-01,1891,"May",1
1891-05-08,1891,"May",8
1891-05-15,1891,"May",15
1891-05-22,1891,"May",22
1891-05-29,1891,"May",29
1891-06-01,1891,"June",5
1891-06-12,1891,"June",12
1891-06-19,1891,"June",19
1891-06-26,1891,"June",26
1891-07-01,1891,"July",3
1891-07-10,1891,"July",10
1891-07-17,1891,"July",17
1891-07-24,1891,"July",24
1891-07-31,1891,"July",31
1891-08-01,1891,"August",7
1891-08-14,1891,"August",14
1891-08-21,1891,"August",21
1891-08-28,1891,"August",28
1891-09-01,1891,"September",4
1891-09-11,1891,"September",11
1891-09-18,1891,"September",18
1891-09-25,1891,"September",25
1891-10-01,1891,"October",2
1891-10-09,1891,"October",9
1891-10-16,1891,"October",16
1891-10-23,1891,"October",23
1891-10-30,1891,"October",30
1891-11-01,1891,"November",6
1891-11-13,1891,"November",13
1891-11-20,1891,"November",20
1891-11-27,1891,"November",27
1891-12-01,1891,"December",4
1891-12-11,1891,"December",11
1891-12-18,1891,"December",18
1891-12-25,1891,"December",25
1892-01-01,1892,"January",1
1892-01-08,1892,"January",8
1892-01-15,1892,"January",15
1892-01-22,1892,"January",22
1892-01-29,1892,"January",29
1892-02-01,1892,"February",5
1892-02-12,1892,"February",12
1892-02-19,1892,"February",19
1892-02-26,1892,"February",26
1892-03-01,1892,"March",4
1892-03-11,1892,"March",11
1892-03-18,1892,"March",18
1892-03-25,1892,"March",25
1892-04-01,1892,"April",1
1892-04-08,1892,"April",8
1892-04-15,1892,"April",15
1892-04-22,1892,"April",22
1892-04-29,1892,"April",29
1892-05-01,1892,"May",6
1892-05-13,1892,"May",13
1892-05-20,1892,"May",20
1892-05-27,1892,"May",27
1892-06-01,1892,"June",3
1892-06-10,1892,"June",10
1892-06-17,1892,"June",17
1892-06-24,1892,"June",24
1892-07-01,1892,"July",1
1892-07-08,1892,"July",8
1892-07-15,1892,"July",15
1892-07-22,1892,"July",22
1892-07-29,1892,"July",29
1892-08-01,1892,"August",5
1892-08-12,1892,"August",12
1892-08-19,1892,"August",19
1892-08-26,1892,"August",26
1892-09-01,1892,"September",2
1892-09-09,1892,"September",9
1892-09-16,1892,"September",16
1892-09-23,1892,"September",23
1892-09-30,1892,"September",30
1892-10-01,1892,"October",7
1892-10-14,1892,"October",14
1892-10-21,1892,"October",21
1892-10-28,1892,"October",28
1892-11-01,1892,"November",4
1892-11-11,1892,"November",11
1892-11-18,1892,"November",18
1892-11-25,1892,"November",25
1892-12-01,1892,"December",2
1892-12-09,1892,"December",9
1892-12-16,1892,"December",16
1892-12-23,1892,"December",23
1892-12-30,1892,"December",30
1893-01-01,1893,"January",6
1893-01-13,1893,"January",13
1893-01-20,1893,"January",20
1893-01-27,1893,"January",27
1893-02-01,1893,"February",3
1893-02-10,1893,"February",10
1893-02-17,1893,"February",17
1893-02-24,1893,"February",24
1893-03-01,1893,"March",3
1893-03-10,1893,"March",10
1893-03-17,1893,"March",17
1893-03-24,1893,"March",24
1893-03-31,1893,"March",31
1893-04-01,1893,"April",7
1893-04-14,1893,"April",14
1893-04-21,1893,"April",21
1893-04-28,1893,"April",28
1893-05-01,1893,"May",5
1893-05-12,1893,"May",12
1893-05-19,1893,"May",19
1893-05-26,1893,"May",26
1893-06-01,1893,"June",2
1893-06-09,1893,"June",9
1893-06-16,1893,"June",16
1893-06-23,1893,"June",23
1893-06-30,1893,"June",30
1893-07-01,1893,"July",7
1893-07-14,1893,"July",14
1893-07-21,1893,"July",21
1893-07-28,1893,"July",28
1893-08-01,1893,"August",4
1893-08-11,1893,"August",11
1893-08-18,1893,"August",18
1893-08-25,1893,"August",25
1893-09-01,1893,"September",1
1893-09-08,1893,"September",8
1893-09-15,1893,"September",15
1893-09-22,1893,"September",22
1893-09-29,1893,"September",29
1893-10-01,1893,"October",6
1893-10-13,1893,"October",13
1893-10-20,1893,"October",20
1893-10-27,1893,"October",27
1893-11-01,1893,"November",3
1893-11-10,1893,"November",10
1893-11-17,1893,"November",17
1893-11-24,1893,"November",24
1893-12-01,1893,"December",1
1893-12-08,1893,"December",8
1893-12-15,1893,"December",15
1893-12-22,1893,"December",22
1893-12-29,1893,"December",29
1894-01-01,1894,"January",5
1894-01-12,1894,"January",12
1894-01-19,1894,"January",19
1894-01-26,1894,"January",26
1894-02-01,1894,"February",2
1894-02-09,1894,"February",9
1894-02-16,1894,"February",16
1894-02-23,1894,"February",23
1894-03-01,1894,"March",2
1894-03-09,1894,"March",9
1894-03-16,1894,"March",16
1894-03-23,1894,"March",23
1894-03-30,1894,"March",30
1894-04-01,1894,"April",6
1894-04-13,1894,"April",13
1894-04-20,1894,"April",20
