new_time,year,month,day,time
1813-06-27,1813,June,27,1813-06-27
1813-07-04,1813,July,4,1813-07-01
1813-07-11,1813,July,11,1813-07-11
1813-07-18,1813,July,18,1813-07-18
1813-07-25,1813,July,25,1813-07-25
1813-08-01,1813,August,1,1813-08-01
1813-08-08,1813,August,8,1813-08-08
1813-08-15,1813,August,15,1813-08-15
1813-08-22,1813,August,22,1813-08-22
1813-08-29,1813,August,29,1813-08-29
1813-09-05,1813,September,5,1813-09-01
1813-09-12,1813,September,12,1813-09-12
1813-09-19,1813,September,19,1813-09-19
1813-09-26,1813,September,26,1813-09-26
1813-10-03,1813,October,3,1813-10-01
1813-10-10,1813,October,10,1813-10-10
1813-10-17,1813,October,17,1813-10-17
1813-10-24,1813,October,24,1813-10-24
1813-10-31,1813,October,31,1813-10-31
1813-11-07,1813,November,7,1813-11-01
1813-11-14,1813,November,14,1813-11-14
1813-11-21,1813,November,21,1813-11-21
1813-11-28,1813,November,28,1813-11-28
1813-12-05,1813,December,5,1813-12-01
1813-12-12,1813,December,12,1813-12-12
1813-12-19,1813,December,19,1813-12-19
1813-12-26,1813,December,26,1813-12-26
1814-01-02,1814,January,2,1814-01-01
1814-01-09,1814,January,9,1814-01-09
1814-01-16,1814,January,16,1814-01-16
1814-01-23,1814,January,23,1814-01-23
1814-01-30,1814,January,30,1814-01-30
1814-02-06,1814,February,6,1814-02-01
1814-02-13,1814,February,13,1814-02-13
1814-02-20,1814,February,20,1814-02-20
1814-02-27,1814,February,27,1814-02-27
1814-03-06,1814,March,6,1814-03-01
1814-03-13,1814,March,13,1814-03-13
1814-03-20,1814,March,20,1814-03-20
1814-03-27,1814,March,27,1814-03-27
1814-04-03,1814,April,3,1814-04-01
1814-04-10,1814,April,10,1814-04-10
1814-04-17,1814,April,17,1814-04-17
1814-04-24,1814,April,24,1814-04-24
1814-05-01,1814,May,1,1814-05-01
1814-05-08,1814,May,8,1814-05-08
1814-05-15,1814,May,15,1814-05-15
1814-05-22,1814,May,22,1814-05-22
1814-05-29,1814,May,29,1814-05-29
1814-06-05,1814,June,5,1814-06-01
1814-06-12,1814,June,12,1814-06-12
1814-06-19,1814,June,19,1814-06-19
1814-06-26,1814,June,26,1814-06-26
1814-07-03,1814,July,3,1814-07-01
1814-07-10,1814,July,10,1814-07-10
1814-07-17,1814,July,17,1814-07-17
1814-07-24,1814,July,24,1814-07-24
1814-07-31,1814,July,31,1814-07-31
1814-08-07,1814,August,7,1814-08-01
1814-08-14,1814,August,14,1814-08-14
1814-08-21,1814,August,21,1814-08-21
1814-08-28,1814,August,28,1814-08-28
1814-09-04,1814,September,4,1814-09-01
1814-09-11,1814,September,11,1814-09-11
1814-09-18,1814,September,18,1814-09-18
1814-09-25,1814,September,25,1814-09-25
1814-10-02,1814,October,2,1814-10-01
1814-10-09,1814,October,9,1814-10-09
1814-10-16,1814,October,16,1814-10-16
1814-10-23,1814,October,23,1814-10-23
1814-10-30,1814,October,30,1814-10-30
1814-11-06,1814,November,6,1814-11-01
1814-11-13,1814,November,13,1814-11-13
1814-11-20,1814,November,20,1814-11-20
1814-11-27,1814,November,27,1814-11-27
1814-12-04,1814,December,4,1814-12-01
1814-12-11,1814,December,11,1814-12-11
1814-12-18,1814,December,18,1814-12-18
1814-12-25,1814,December,25,1814-12-25
1815-01-01,1815,January,1,1815-01-01
1815-01-08,1815,January,8,1815-01-08
1815-01-15,1815,January,15,1815-01-15
1815-01-22,1815,January,22,1815-01-22
1815-01-29,1815,January,29,1815-01-29
1815-02-05,1815,February,5,1815-02-01
1815-02-12,1815,February,12,1815-02-12
1815-02-19,1815,February,19,1815-02-19
1815-02-26,1815,February,26,1815-02-26
1815-03-05,1815,March,5,1815-03-01
1815-03-12,1815,March,12,1815-03-12
1815-03-19,1815,March,19,1815-03-19
1815-03-26,1815,March,26,1815-03-26
1815-04-02,1815,April,2,1815-04-01
1815-04-09,1815,April,9,1815-04-09
1815-04-16,1815,April,16,1815-04-16
1815-04-23,1815,April,23,1815-04-23
1815-04-30,1815,April,30,1815-04-30
1815-05-07,1815,May,7,1815-05-01
1815-05-14,1815,May,14,1815-05-14
1815-05-21,1815,May,21,1815-05-21
1815-05-28,1815,May,28,1815-05-28
1815-06-04,1815,June,4,1815-06-01
1815-06-11,1815,June,11,1815-06-11
1815-06-18,1815,June,18,1815-06-18
1815-06-25,1815,June,25,1815-06-25
1815-07-02,1815,July,2,1815-07-01
1815-07-09,1815,July,9,1815-07-09
1815-07-16,1815,July,16,1815-07-16
1815-07-23,1815,July,23,1815-07-23
1815-07-30,1815,July,30,1815-07-30
1815-08-06,1815,August,6,1815-08-01
1815-08-13,1815,August,13,1815-08-13
1815-08-20,1815,August,20,1815-08-20
1815-08-27,1815,August,27,1815-08-27
1815-09-03,1815,September,3,1815-09-01
1815-09-10,1815,September,10,1815-09-10
1815-09-17,1815,September,17,1815-09-17
1815-09-24,1815,September,24,1815-09-24
1815-10-01,1815,October,1,1815-10-01
1815-10-08,1815,October,8,1815-10-08
1815-10-15,1815,October,15,1815-10-15
1815-10-22,1815,October,22,1815-10-22
1815-10-29,1815,October,29,1815-10-29
1815-11-05,1815,November,5,1815-11-01
1815-11-12,1815,November,12,1815-11-12
1815-11-19,1815,November,19,1815-11-19
1815-11-26,1815,November,26,1815-11-26
1815-12-03,1815,December,3,1815-12-01
1815-12-10,1815,December,10,1815-12-10
1815-12-17,1815,December,17,1815-12-17
1815-12-24,1815,December,24,1815-12-24
1815-12-31,1815,December,31,1815-12-31
1816-01-07,1816,January,7,1816-01-01
1816-01-14,1816,January,14,1816-01-14
1816-01-21,1816,January,21,1816-01-21
1816-01-28,1816,January,28,1816-01-28
1816-02-04,1816,February,4,1816-02-01
1816-02-11,1816,February,11,1816-02-11
1816-02-18,1816,February,18,1816-02-18
1816-02-25,1816,February,25,1816-02-25
1816-03-03,1816,March,3,1816-03-01
1816-03-10,1816,March,10,1816-03-10
1816-03-17,1816,March,17,1816-03-17
1816-03-24,1816,March,24,1816-03-24
1816-03-31,1816,March,31,1816-03-31
1816-04-07,1816,April,7,1816-04-01
1816-04-14,1816,April,14,1816-04-14
1816-04-21,1816,April,21,1816-04-21
1816-04-28,1816,April,28,1816-04-28
1816-05-05,1816,May,5,1816-05-01
1816-05-12,1816,May,12,1816-05-12
1816-05-19,1816,May,19,1816-05-19
1816-05-26,1816,May,26,1816-05-26
1816-06-02,1816,June,2,1816-06-01
1816-06-09,1816,June,9,1816-06-09
1816-06-16,1816,June,16,1816-06-16
1816-06-23,1816,June,23,1816-06-23
1816-06-30,1816,June,30,1816-06-30
1816-07-07,1816,July,7,1816-07-01
1816-07-14,1816,July,14,1816-07-14
1816-07-21,1816,July,21,1816-07-21
1816-07-28,1816,July,28,1816-07-28
1816-08-04,1816,August,4,1816-08-01
1816-08-11,1816,August,11,1816-08-11
1816-08-18,1816,August,18,1816-08-18
1816-08-25,1816,August,25,1816-08-25
1816-09-01,1816,September,1,1816-09-01
1816-09-08,1816,September,8,1816-09-08
1816-09-15,1816,September,15,1816-09-15
1816-09-22,1816,September,22,1816-09-22
1816-09-29,1816,September,29,1816-09-29
1816-10-06,1816,October,6,1816-10-01
1816-10-13,1816,October,13,1816-10-13
1816-10-20,1816,October,20,1816-10-20
1816-10-27,1816,October,27,1816-10-27
1816-11-03,1816,November,3,1816-11-01
1816-11-10,1816,November,10,1816-11-10
1816-11-17,1816,November,17,1816-11-17
1816-11-24,1816,November,24,1816-11-24
1816-12-01,1816,December,1,1816-12-01
1816-12-08,1816,December,8,1816-12-08
1816-12-15,1816,December,15,1816-12-15
1816-12-22,1816,December,22,1816-12-22
1816-12-29,1816,December,29,1816-12-29
1817-01-05,1817,January,5,1817-01-01
1817-01-12,1817,January,12,1817-01-12
1817-01-19,1817,January,19,1817-01-19
1817-01-26,1817,January,26,1817-01-26
1817-02-02,1817,February,2,1817-02-01
1817-02-09,1817,February,9,1817-02-09
1817-02-16,1817,February,16,1817-02-16
1817-02-23,1817,February,23,1817-02-23
1817-03-02,1817,March,2,1817-03-01
1817-03-09,1817,March,9,1817-03-09
1817-03-16,1817,March,16,1817-03-16
1817-03-23,1817,March,23,1817-03-23
1817-03-30,1817,March,30,1817-03-30
1817-04-06,1817,April,6,1817-04-01
1817-04-13,1817,April,13,1817-04-13
1817-04-20,1817,April,20,1817-04-20
1817-04-27,1817,April,27,1817-04-27
1817-05-04,1817,May,4,1817-05-01
1817-05-11,1817,May,11,1817-05-11
1817-05-18,1817,May,18,1817-05-18
1817-05-25,1817,May,25,1817-05-25
1817-06-01,1817,June,1,1817-06-01
1817-06-08,1817,June,8,1817-06-08
1817-06-15,1817,June,15,1817-06-15
1817-06-22,1817,June,22,1817-06-22
1817-06-29,1817,June,29,1817-06-29
1817-07-06,1817,July,6,1817-07-01
1817-07-13,1817,July,13,1817-07-13
1817-07-20,1817,July,20,1817-07-20
1817-07-27,1817,July,27,1817-07-27
1817-08-03,1817,August,3,1817-08-01
1817-08-10,1817,August,10,1817-08-10
1817-08-17,1817,August,17,1817-08-17
1817-08-24,1817,August,24,1817-08-24
1817-08-31,1817,August,31,1817-08-31
1817-09-07,1817,September,7,1817-09-01
1817-09-14,1817,September,14,1817-09-14
1817-09-21,1817,September,21,1817-09-21
1817-09-28,1817,September,28,1817-09-28
1817-10-05,1817,October,5,1817-10-01
1817-10-12,1817,October,12,1817-10-12
1817-10-19,1817,October,19,1817-10-19
1817-10-26,1817,October,26,1817-10-26
1817-11-02,1817,November,2,1817-11-01
1817-11-09,1817,November,9,1817-11-09
1817-11-16,1817,November,16,1817-11-16
1817-11-23,1817,November,23,1817-11-23
1817-11-30,1817,November,30,1817-11-30
1817-12-07,1817,December,7,1817-12-01
1817-12-14,1817,December,14,1817-12-14
1817-12-21,1817,December,21,1817-12-21
1817-12-28,1817,December,28,1817-12-28
1818-01-04,1818,January,4,1818-01-01
1818-01-11,1818,January,11,1818-01-11
1818-01-18,1818,January,18,1818-01-18
1818-01-25,1818,January,25,1818-01-25
1818-02-01,1818,February,1,1818-02-01
1818-02-08,1818,February,8,1818-02-08
1818-02-15,1818,February,15,1818-02-15
1818-02-22,1818,February,22,1818-02-22
1818-03-01,1818,March,1,1818-03-01
1818-03-08,1818,March,8,1818-03-08
1818-03-15,1818,March,15,1818-03-15
1818-03-22,1818,March,22,1818-03-22
1818-03-29,1818,March,29,1818-03-29
1818-04-05,1818,April,5,1818-04-01
1818-04-12,1818,April,12,1818-04-12
1818-04-19,1818,April,19,1818-04-19
1818-04-26,1818,April,26,1818-04-26
1818-05-03,1818,May,3,1818-05-01
1818-05-10,1818,May,10,1818-05-10
1818-05-17,1818,May,17,1818-05-17
1818-05-24,1818,May,24,1818-05-24
1818-05-31,1818,May,31,1818-05-31
1818-06-07,1818,June,7,1818-06-01
1818-06-14,1818,June,14,1818-06-14
1818-06-21,1818,June,21,1818-06-21
1818-06-28,1818,June,28,1818-06-28
1818-07-05,1818,July,5,1818-07-01
1818-07-12,1818,July,12,1818-07-12
1818-07-19,1818,July,19,1818-07-19
1818-07-26,1818,July,26,1818-07-26
1818-08-02,1818,August,2,1818-08-01
1818-08-09,1818,August,9,1818-08-09
1818-08-16,1818,August,16,1818-08-16
1818-08-23,1818,August,23,1818-08-23
1818-08-30,1818,August,30,1818-08-30
1818-09-06,1818,September,6,1818-09-01
1818-09-13,1818,September,13,1818-09-13
1818-09-20,1818,September,20,1818-09-20
1818-09-27,1818,September,27,1818-09-27
1818-10-04,1818,October,4,1818-10-01
1818-10-11,1818,October,11,1818-10-11
1818-10-18,1818,October,18,1818-10-18
1818-10-25,1818,October,25,1818-10-25
1818-11-01,1818,November,1,1818-11-01
1818-11-08,1818,November,8,1818-11-08
1818-11-15,1818,November,15,1818-11-15
1818-11-22,1818,November,22,1818-11-22
1818-11-29,1818,November,29,1818-11-29
1818-12-06,1818,December,6,1818-12-01
1818-12-13,1818,December,13,1818-12-13
1818-12-20,1818,December,20,1818-12-20
1818-12-27,1818,December,27,1818-12-27
1819-01-03,1819,January,3,1819-01-01
1819-01-10,1819,January,10,1819-01-10
1819-01-17,1819,January,17,1819-01-17
1819-01-24,1819,January,24,1819-01-24
1819-01-31,1819,January,31,1819-01-31
1819-02-07,1819,February,7,1819-02-01
1819-02-14,1819,February,14,1819-02-14
1819-02-21,1819,February,21,1819-02-21
1819-02-28,1819,February,28,1819-02-28
1819-03-07,1819,March,7,1819-03-01
1819-03-14,1819,March,14,1819-03-14
1819-03-21,1819,March,21,1819-03-21
1819-03-28,1819,March,28,1819-03-28
1819-04-04,1819,April,4,1819-04-01
1819-04-11,1819,April,11,1819-04-11
1819-04-18,1819,April,18,1819-04-18
1819-04-25,1819,April,25,1819-04-25
1819-05-02,1819,May,2,1819-05-01
1819-05-09,1819,May,9,1819-05-09
1819-05-16,1819,May,16,1819-05-16
1819-05-23,1819,May,23,1819-05-23
1819-05-30,1819,May,30,1819-05-30
1819-06-06,1819,June,6,1819-06-01
1819-06-13,1819,June,13,1819-06-13
1819-06-20,1819,June,20,1819-06-20
1819-06-27,1819,June,27,1819-06-27
1819-07-04,1819,July,4,1819-07-01
1819-07-11,1819,July,11,1819-07-11
1819-07-18,1819,July,18,1819-07-18
1819-07-25,1819,July,25,1819-07-25
1819-08-01,1819,August,1,1819-08-01
1819-08-08,1819,August,8,1819-08-08
1819-08-15,1819,August,15,1819-08-15
1819-08-22,1819,August,22,1819-08-22
1819-08-29,1819,August,29,1819-08-29
1819-09-05,1819,September,5,1819-09-01
1819-09-12,1819,September,12,1819-09-12
1819-09-19,1819,September,19,1819-09-19
1819-09-26,1819,September,26,1819-09-26
1819-10-03,1819,October,3,1819-10-01
1819-10-10,1819,October,10,1819-10-10
1819-10-17,1819,October,17,1819-10-17
1819-10-24,1819,October,24,1819-10-24
1819-10-31,1819,October,31,1819-10-31
1819-11-07,1819,November,7,1819-11-01
1819-11-14,1819,November,14,1819-11-14
1819-11-21,1819,November,21,1819-11-21
1819-11-28,1819,November,28,1819-11-28
1819-12-05,1819,December,5,1819-12-01
1819-12-12,1819,December,12,1819-12-12
1819-12-19,1819,December,19,1819-12-19
1819-12-26,1819,December,26,1819-12-26
1820-01-02,1820,January,2,1820-01-01
1820-01-09,1820,January,9,1820-01-09
1820-01-16,1820,January,16,1820-01-16
1820-01-23,1820,January,23,1820-01-23
1820-01-30,1820,January,30,1820-01-30
1820-02-06,1820,February,6,1820-02-01
1820-02-13,1820,February,13,1820-02-13
1820-02-20,1820,February,20,1820-02-20
1820-02-27,1820,February,27,1820-02-27
1820-03-05,1820,March,5,1820-03-01
1820-03-12,1820,March,12,1820-03-12
1820-03-19,1820,March,19,1820-03-19
1820-03-26,1820,March,26,1820-03-26
1820-04-02,1820,April,2,1820-04-01
1820-04-09,1820,April,9,1820-04-09
1820-04-16,1820,April,16,1820-04-16
1820-04-23,1820,April,23,1820-04-23
1820-04-30,1820,April,30,1820-04-30
1820-05-07,1820,May,7,1820-05-01
1820-05-14,1820,May,14,1820-05-14
1820-05-21,1820,May,21,1820-05-21
1820-05-28,1820,May,28,1820-05-28
1820-06-04,1820,June,4,1820-06-01
1820-06-11,1820,June,11,1820-06-11
1820-06-18,1820,June,18,1820-06-18
1820-06-25,1820,June,25,1820-06-25
1820-07-02,1820,July,2,1820-07-01
1820-07-09,1820,July,9,1820-07-09
1820-07-16,1820,July,16,1820-07-16
1820-07-23,1820,July,23,1820-07-23
1820-07-30,1820,July,30,1820-07-30
1820-08-06,1820,August,6,1820-08-01
1820-08-13,1820,August,13,1820-08-13
1820-08-20,1820,August,20,1820-08-20
1820-08-27,1820,August,27,1820-08-27
1820-09-03,1820,September,3,1820-09-01
1820-09-10,1820,September,10,1820-09-10
1820-09-17,1820,September,17,1820-09-17
1820-09-24,1820,September,24,1820-09-24
1820-10-01,1820,October,1,1820-10-01
1820-10-08,1820,October,8,1820-10-08
1820-10-15,1820,October,15,1820-10-15
1820-10-22,1820,October,22,1820-10-22
1820-10-29,1820,October,29,1820-10-29
1820-11-05,1820,November,5,1820-11-01
1820-11-12,1820,November,12,1820-11-12
1820-11-19,1820,November,19,1820-11-19
1820-11-26,1820,November,26,1820-11-26
1820-12-03,1820,December,3,1820-12-01
1820-12-10,1820,December,10,1820-12-10
1820-12-17,1820,December,17,1820-12-17
1820-12-24,1820,December,24,1820-12-24
1820-12-31,1820,December,31,1820-12-31
1821-01-07,1821,January,7,1821-01-01
1821-01-14,1821,January,14,1821-01-14
1821-01-21,1821,January,21,1821-01-21
1821-01-28,1821,January,28,1821-01-28
1821-02-04,1821,February,4,1821-02-01
1821-02-11,1821,February,11,1821-02-11
1821-02-18,1821,February,18,1821-02-18
1821-02-25,1821,February,25,1821-02-25
1821-03-04,1821,March,4,1821-03-01
1821-03-11,1821,March,11,1821-03-11
1821-03-18,1821,March,18,1821-03-18
1821-03-25,1821,March,25,1821-03-25
1821-04-01,1821,April,1,1821-04-01
1821-04-08,1821,April,8,1821-04-08
1821-04-15,1821,April,15,1821-04-15
1821-04-22,1821,April,22,1821-04-22
1821-04-29,1821,April,29,1821-04-29
1821-05-06,1821,May,6,1821-05-01
1821-05-13,1821,May,13,1821-05-13
1821-05-20,1821,May,20,1821-05-20
1821-05-27,1821,May,27,1821-05-27
1821-06-03,1821,June,3,1821-06-01
1821-06-10,1821,June,10,1821-06-10
1821-06-17,1821,June,17,1821-06-17
1821-06-24,1821,June,24,1821-06-24
1821-07-01,1821,July,1,1821-07-01
1821-07-08,1821,July,8,1821-07-08
1821-07-15,1821,July,15,1821-07-15
1821-07-22,1821,July,22,1821-07-22
1821-07-29,1821,July,29,1821-07-29
1821-08-05,1821,August,5,1821-08-01
1821-08-12,1821,August,12,1821-08-12
1821-08-19,1821,August,19,1821-08-19
1821-08-26,1821,August,26,1821-08-26
1821-09-02,1821,September,2,1821-09-01
1821-09-09,1821,September,9,1821-09-09
1821-09-16,1821,September,16,1821-09-16
1821-09-23,1821,September,23,1821-09-23
1821-09-30,1821,September,30,1821-09-30
1821-10-07,1821,October,7,1821-10-01
1821-10-14,1821,October,14,1821-10-14
1821-10-21,1821,October,21,1821-10-21
1821-10-28,1821,October,28,1821-10-28
1821-11-04,1821,November,4,1821-11-01
1821-11-11,1821,November,11,1821-11-11
1821-11-18,1821,November,18,1821-11-18
1821-11-25,1821,November,25,1821-11-25
1821-12-02,1821,December,2,1821-12-01
1821-12-09,1821,December,9,1821-12-09
1821-12-16,1821,December,16,1821-12-16
1821-12-23,1821,December,23,1821-12-23
1821-12-30,1821,December,30,1821-12-30
1822-01-06,1822,January,6,1822-01-01
1822-01-13,1822,January,13,1822-01-13
1822-01-20,1822,January,20,1822-01-20
1822-01-27,1822,January,27,1822-01-27
1822-02-03,1822,February,3,1822-02-01
1822-02-10,1822,February,10,1822-02-10
1822-02-17,1822,February,17,1822-02-17
1822-02-24,1822,February,24,1822-02-24
1822-03-03,1822,March,3,1822-03-01
1822-03-10,1822,March,10,1822-03-10
1822-03-17,1822,March,17,1822-03-17
1822-03-24,1822,March,24,1822-03-24
1822-03-31,1822,March,31,1822-03-31
1822-04-07,1822,April,7,1822-04-01
1822-04-14,1822,April,14,1822-04-14
1822-04-21,1822,April,21,1822-04-21
1822-04-28,1822,April,28,1822-04-28
1822-05-05,1822,May,5,1822-05-01
1822-05-12,1822,May,12,1822-05-12
1822-05-19,1822,May,19,1822-05-19
1822-05-26,1822,May,26,1822-05-26
1822-06-02,1822,June,2,1822-06-01
1822-06-09,1822,June,9,1822-06-09
1822-06-16,1822,June,16,1822-06-16
1822-06-23,1822,June,23,1822-06-23
1822-06-30,1822,June,30,1822-06-30
1822-07-07,1822,July,7,1822-07-01
1822-07-14,1822,July,14,1822-07-14
1822-07-21,1822,July,21,1822-07-21
1822-07-28,1822,July,28,1822-07-28
1822-08-04,1822,August,4,1822-08-01
1822-08-11,1822,August,11,1822-08-11
1822-08-18,1822,August,18,1822-08-18
1822-08-25,1822,August,25,1822-08-25
1822-09-01,1822,September,1,1822-09-01
1822-09-08,1822,September,8,1822-09-08
1822-09-15,1822,September,15,1822-09-15
1822-09-22,1822,September,22,1822-09-22
1822-09-29,1822,September,29,1822-09-29
1822-10-06,1822,October,6,1822-10-01
1822-10-13,1822,October,13,1822-10-13
1822-10-20,1822,October,20,1822-10-20
1822-10-27,1822,October,27,1822-10-27
1822-11-03,1822,November,3,1822-11-01
1822-11-10,1822,November,10,1822-11-10
1822-11-17,1822,November,17,1822-11-17
1822-11-24,1822,November,24,1822-11-24
1822-12-01,1822,December,1,1822-12-01
1822-12-08,1822,December,8,1822-12-08
1822-12-15,1822,December,15,1822-12-15
1822-12-22,1822,December,22,1822-12-22
1822-12-29,1822,December,29,1822-12-29
1823-01-05,1823,January,5,1823-01-01
1823-01-12,1823,January,12,1823-01-12
1823-01-19,1823,January,19,1823-01-19
1823-01-26,1823,January,26,1823-01-26
1823-02-02,1823,February,2,1823-02-01
1823-02-09,1823,February,9,1823-02-09
1823-02-16,1823,February,16,1823-02-16
1823-02-23,1823,February,23,1823-02-23
1823-03-02,1823,March,2,1823-03-01
1823-03-09,1823,March,9,1823-03-09
1823-03-16,1823,March,16,1823-03-16
1823-03-23,1823,March,23,1823-03-23
1823-03-30,1823,March,30,1823-03-30
1823-04-06,1823,April,6,1823-04-01
1823-04-13,1823,April,13,1823-04-13
1823-04-20,1823,April,20,1823-04-20
1823-04-27,1823,April,27,1823-04-27
1823-05-04,1823,May,4,1823-05-01
1823-05-11,1823,May,11,1823-05-11
1823-05-18,1823,May,18,1823-05-18
1823-05-25,1823,May,25,1823-05-25
1823-06-01,1823,June,1,1823-06-01
1823-06-08,1823,June,8,1823-06-08
1823-06-15,1823,June,15,1823-06-15
1823-06-22,1823,June,22,1823-06-22
1823-06-29,1823,June,29,1823-06-29
1823-07-06,1823,July,6,1823-07-01
1823-07-13,1823,July,13,1823-07-13
1823-07-20,1823,July,20,1823-07-20
1823-07-27,1823,July,27,1823-07-27
1823-08-03,1823,August,3,1823-08-01
1823-08-10,1823,August,10,1823-08-10
1823-08-17,1823,August,17,1823-08-17
1823-08-24,1823,August,24,1823-08-24
1823-08-31,1823,August,31,1823-08-31
1823-09-07,1823,September,7,1823-09-01
1823-09-14,1823,September,14,1823-09-14
1823-09-21,1823,September,21,1823-09-21
1823-09-28,1823,September,28,1823-09-28
1823-10-05,1823,October,5,1823-10-01
1823-10-12,1823,October,12,1823-10-12
1823-10-19,1823,October,19,1823-10-19
1823-10-26,1823,October,26,1823-10-26
1823-11-02,1823,November,2,1823-11-01
1823-11-09,1823,November,9,1823-11-09
1823-11-16,1823,November,16,1823-11-16
1823-11-23,1823,November,23,1823-11-23
1823-11-30,1823,November,30,1823-11-30
1823-12-07,1823,December,7,1823-12-01
1823-12-14,1823,December,14,1823-12-14
1823-12-21,1823,December,21,1823-12-21
1823-12-28,1823,December,28,1823-12-28
1824-01-04,1824,January,4,1824-01-01
1824-01-11,1824,January,11,1824-01-11
1824-01-18,1824,January,18,1824-01-18
1824-01-25,1824,January,25,1824-01-25
1824-02-01,1824,February,1,1824-02-01
1824-02-08,1824,February,8,1824-02-08
1824-02-15,1824,February,15,1824-02-15
1824-02-22,1824,February,22,1824-02-22
1824-02-29,1824,February,29,1824-02-29
1824-03-07,1824,March,7,1824-03-01
1824-03-14,1824,March,14,1824-03-14
1824-03-21,1824,March,21,1824-03-21
1824-03-28,1824,March,28,1824-03-28
1824-04-04,1824,April,4,1824-04-01
1824-04-11,1824,April,11,1824-04-11
1824-04-18,1824,April,18,1824-04-18
1824-04-25,1824,April,25,1824-04-25
1824-05-02,1824,May,2,1824-05-01
1824-05-09,1824,May,9,1824-05-09
1824-05-16,1824,May,16,1824-05-16
1824-05-23,1824,May,23,1824-05-23
1824-05-30,1824,May,30,1824-05-30
1824-06-06,1824,June,6,1824-06-01
1824-06-13,1824,June,13,1824-06-13
1824-06-20,1824,June,20,1824-06-20
1824-06-27,1824,June,27,1824-06-27
1824-07-04,1824,July,4,1824-07-01
1824-07-11,1824,July,11,1824-07-11
1824-07-18,1824,July,18,1824-07-18
1824-07-25,1824,July,25,1824-07-25
1824-08-01,1824,August,1,1824-08-01
1824-08-08,1824,August,8,1824-08-08
1824-08-15,1824,August,15,1824-08-15
1824-08-22,1824,August,22,1824-08-22
1824-08-29,1824,August,29,1824-08-29
1824-09-05,1824,September,5,1824-09-01
1824-09-12,1824,September,12,1824-09-12
1824-09-19,1824,September,19,1824-09-19
1824-09-26,1824,September,26,1824-09-26
1824-10-03,1824,October,3,1824-10-01
1824-10-10,1824,October,10,1824-10-10
1824-10-17,1824,October,17,1824-10-17
1824-10-24,1824,October,24,1824-10-24
1824-10-31,1824,October,31,1824-10-31
1824-11-07,1824,November,7,1824-11-01
1824-11-14,1824,November,14,1824-11-14
1824-11-21,1824,November,21,1824-11-21
1824-11-28,1824,November,28,1824-11-28
1824-12-05,1824,December,5,1824-12-01
1824-12-12,1824,December,12,1824-12-12
1824-12-19,1824,December,19,1824-12-19
1824-12-26,1824,December,26,1824-12-26
1825-01-02,1825,January,2,1825-01-01
1825-01-09,1825,January,9,1825-01-09
1825-01-16,1825,January,16,1825-01-16
1825-01-23,1825,January,23,1825-01-23
1825-01-30,1825,January,30,1825-01-30
1825-02-06,1825,February,6,1825-02-01
1825-02-13,1825,February,13,1825-02-13
1825-02-20,1825,February,20,1825-02-20
1825-02-27,1825,February,27,1825-02-27
1825-03-06,1825,March,6,1825-03-01
1825-03-13,1825,March,13,1825-03-13
1825-03-20,1825,March,20,1825-03-20
1825-03-27,1825,March,27,1825-03-27
1825-04-03,1825,April,3,1825-04-01
1825-04-10,1825,April,10,1825-04-10
1825-04-17,1825,April,17,1825-04-17
1825-04-24,1825,April,24,1825-04-24
1825-05-01,1825,May,1,1825-05-01
1825-05-08,1825,May,8,1825-05-08
1825-05-15,1825,May,15,1825-05-15
1825-05-22,1825,May,22,1825-05-22
1825-05-29,1825,May,29,1825-05-29
1825-06-05,1825,June,5,1825-06-01
1825-06-12,1825,June,12,1825-06-12
1825-06-19,1825,June,19,1825-06-19
1825-06-26,1825,June,26,1825-06-26
1825-07-03,1825,July,3,1825-07-01
1825-07-10,1825,July,10,1825-07-10
1825-07-17,1825,July,17,1825-07-17
1825-07-24,1825,July,24,1825-07-24
1825-07-31,1825,July,31,1825-07-31
1825-08-07,1825,August,7,1825-08-01
1825-08-14,1825,August,14,1825-08-14
1825-08-21,1825,August,21,1825-08-21
1825-08-28,1825,August,28,1825-08-28
1825-09-04,1825,September,4,1825-09-01
1825-09-11,1825,September,11,1825-09-11
1825-09-18,1825,September,18,1825-09-18
1825-09-25,1825,September,25,1825-09-25
1825-10-02,1825,October,2,1825-10-01
1825-10-09,1825,October,9,1825-10-09
1825-10-16,1825,October,16,1825-10-16
1825-10-23,1825,October,23,1825-10-23
1825-10-30,1825,October,30,1825-10-30
1825-11-06,1825,November,6,1825-11-01
1825-11-13,1825,November,13,1825-11-13
1825-11-20,1825,November,20,1825-11-20
1825-11-27,1825,November,27,1825-11-27
1825-12-04,1825,December,4,1825-12-01
1825-12-11,1825,December,11,1825-12-11
1825-12-18,1825,December,18,1825-12-18
1825-12-25,1825,December,25,1825-12-25
1826-01-01,1826,January,1,1826-01-01
1826-01-08,1826,January,8,1826-01-08
1826-01-15,1826,January,15,1826-01-15
1826-01-22,1826,January,22,1826-01-22
1826-01-29,1826,January,29,1826-01-29
1826-02-05,1826,February,5,1826-02-01
1826-02-12,1826,February,12,1826-02-12
1826-02-19,1826,February,19,1826-02-19
1826-02-26,1826,February,26,1826-02-26
1826-03-05,1826,March,5,1826-03-01
1826-03-12,1826,March,12,1826-03-12
1826-03-19,1826,March,19,1826-03-19
1826-03-26,1826,March,26,1826-03-26
